id_group, bary_x, bary_y,bary_convex_x,bary_convex_y, speed_bary_x, speed_bary_y, popu_group, nb_group, plus-proche, time
74,306.73468,621.1634,306.73468,621.1634,1.971544,-0.3361762,1,100,51,1
75,795.1627,882.56573,795.1627,882.56573,-1.0731636,1.6876966,1,100,59,1
76,402.57263,131.33302,402.57263,131.33302,-1.7475076,-0.97273695,1,100,30,1
77,520.1116,364.44687,520.1116,364.44687,1.5246805,1.2943529,1,100,50,1
78,591.74066,644.03235,591.74066,644.03235,0.099649996,-1.9677117,2,100,4,1
79,340.2874,546.77466,340.2874,546.77466,0.8525193,-1.8092018,1,100,15,1
80,132.14864,26.361448,132.14864,26.361448,1.6132767,-1.1820905,1,100,99,1
81,197.87369,278.80365,197.87369,278.80365,-0.6148217,-1.9031538,1,100,71,1
82,254.32089,404.2941,254.32089,404.2941,-0.6708256,-1.8841425,1,100,31,1
83,601.7684,495.93823,601.7684,495.93823,-1.9989969,0.06333705,1,100,20,1
84,675.1656,758.81665,675.1656,758.81665,-0.2567989,1.983445,1,100,88,1
85,550.03186,685.65295,550.03186,685.65295,-0.1668417,1.9283868,2,100,78,1
86,896.7265,298.94528,896.7265,298.94528,1.9881604,-0.21729751,1,100,39,1
87,309.87207,800.8366,309.87207,800.8366,1.996541,-0.117575176,1,100,33,1
88,628.2526,771.1266,628.2526,771.1266,1.7713015,-0.9287041,1,100,73,1
89,324.57266,0.51487684,324.57266,0.51487684,-1.8240073,0.8203645,1,100,38,1
90,593.18787,127.49892,593.18787,127.49892,-0.14347386,1.9948472,1,100,43,1
91,91.06856,691.9323,91.06856,691.9323,1.9681045,-0.35575947,1,100,2,1
92,683.74835,501.91205,683.74835,501.91205,0.048799355,1.9994047,1,100,83,1
93,230.7977,455.45148,230.7977,455.45148,-0.8124317,1.8275543,1,100,31,1
94,100.33704,891.42444,100.33704,891.42444,-1.9158932,0.5738934,1,100,42,1
95,770.69635,261.542,770.69635,261.542,-1.8363897,-0.7922582,1,100,68,1
96,366.49753,161.65878,366.49753,161.65878,1.872636,-0.7023067,1,100,30,1
97,718.37695,834.82306,718.37695,834.82306,-1.54612,-1.2232585,2,100,25,1
98,446.393,695.6636,446.393,695.6636,-1.8740803,0.6984434,1,100,27,1
99,136.22908,97.03358,136.22908,97.03358,0.17239505,1.9925562,1,100,80,1
100,645.75104,236.53023,645.75104,236.53023,1.4853594,1.3392936,1,100,68,1
1,184.27295,673.73895,184.27295,673.73895,-1.847472,0.47735578,1,100,60,2
2,45.061016,727.51904,45.061016,727.51904,-0.27000612,1.7932496,2,100,91,2
3,308.9584,137.21648,308.9584,137.21648,-0.34205344,-1.9705328,1,100,96,2
4,552.86993,602.7264,552.86993,602.7264,-1.7320448,0.7768238,1,100,35,2
5,474.19592,468.95752,474.19592,468.95752,1.5948081,-0.7862002,3,100,53,2
6,749.18494,446.47598,749.18494,446.47598,1.7050251,-0.9106277,2,100,92,2
7,497.76,740.85016,497.76,740.85016,-0.016191281,-1.9999344,1,100,98,2
8,431.2824,554.04956,431.2824,554.04956,1.1070995,1.5793606,2,100,79,2
9,99.215195,296.03674,99.215195,296.03674,-0.3149308,-1.9006665,2,100,49,2
10,11.770697,594.163,11.770697,594.163,-1.8944876,0.0056499485,2,100,52,2
11,896.18994,835.07025,896.18994,835.07025,1.8586844,-0.5910967,1,100,69,2
12,229.48824,104.72113,229.48824,104.72113,-1.1665612,-1.6245414,1,100,38,2
13,23.795738,447.11282,27.525448,455.5014,-0.39428976,0.4929179,5,100,101,2
15,315.3798,579.8934,315.3798,579.8934,-1.5154784,-1.2120712,1,100,74,2
16,453.51044,343.0063,453.51044,343.0063,-1.4803996,-0.7501448,3,100,53,2
17,200.10776,885.91785,200.10776,885.91785,-0.6671623,0.48732966,2,100,48,2
18,479.63577,247.51646,479.63577,247.51646,1.2873406,-1.5306058,1,100,16,2
19,356.37408,743.29193,356.3741,743.29193,-1.6219143,-1.0138443,3,100,33,2
20,565.8238,449.7736,565.8238,449.7736,1.2339659,1.573953,1,100,83,2
22,367.71164,300.72662,367.71164,300.72662,-1.9920269,0.1784056,1,100,103,2
23,659.0974,858.594,659.0974,858.594,-1.7573795,0.74152964,1,100,25,2
24,731.5766,350.73767,731.5766,350.73767,-1.3761489,1.3855426,2,100,67,2
25,716.6465,848.82495,716.6465,848.82495,0.09476656,1.8154252,1,100,97,2
26,608.1353,20.165028,608.1353,20.165028,0.7080108,-1.7370065,2,100,55,2
27,444.3828,688.78345,444.3828,688.78345,1.8051519,-0.10510965,2,100,98,2
28,378.8424,242.88538,378.8424,242.88538,1.8379761,-0.33094153,1,100,41,2
29,224.41022,201.60416,224.41022,201.60416,1.9638985,0.37828884,1,100,81,2
30,384.95898,169.98221,384.95898,169.98221,-1.3349154,1.3788743,2,100,96,2
31,236.76389,422.19916,236.76389,422.19916,1.8479785,0.5825367,1,100,82,2
32,38.059647,239.76227,38.059647,239.76227,-1.3998573,-1.1921484,2,100,49,2
33,324.14285,795.0388,324.14285,795.0388,-0.5290671,1.7890595,1,100,87,2
34,685.3484,128.83963,685.3484,128.83963,-1.7633927,-0.6061392,1,100,43,2
35,524.89685,611.14276,524.89685,611.14276,1.2794781,1.4045453,2,100,4,2
36,504.17593,78.96072,504.17593,78.96072,1.2415686,-1.4449403,1,100,47,2
37,752.7633,679.3132,752.7633,679.3132,1.9395863,0.29327643,2,100,72,2
38,220.24199,34.932545,220.24199,34.932545,-1.6067951,1.1318805,1,100,12,2
39,887.6118,213.07161,887.6118,213.07161,-1.3432767,0.21861297,2,100,86,2
40,443.5241,57.27753,443.5241,57.27753,1.8556026,0.6659173,1,100,36,2
41,363.29355,246.41428,363.29355,246.41428,8.274168E-4,-1.900874,2,100,28,2
43,664.79816,135.91148,664.79816,135.91148,-0.7674797,1.7224015,1,100,34,2
45,818.1589,555.20856,818.1589,555.20856,0.7714152,-1.7584395,1,100,65,2
46,141.07368,535.28705,141.0737,535.28705,-0.10858148,-1.843563,3,100,52,2
47,507.95227,116.326065,507.95227,116.326065,-0.896079,1.6784707,1,100,36,2
48,245.53983,801.75323,245.53983,801.75323,0.38732705,-1.8140401,2,100,87,2
49,60.345768,293.73267,60.345768,293.73267,-0.567415,1.7802588,1,100,9,2
51,317.68185,695.47015,317.68185,695.47015,1.012408,-1.7248275,1,100,19,2
52,119.41132,529.0589,119.41132,529.0589,1.5045244,1.1486598,1,100,46,2
53,421.99805,411.31122,421.99805,411.31122,-1.6973423,-1.0578418,1,100,56,2
54,578.0288,349.19168,578.0288,349.19168,-1.8390859,-0.5534782,2,100,70,2
55,692.46387,32.77199,692.46387,32.77199,-1.5504582,-0.963199,2,100,26,2
56,356.5579,393.50974,356.5579,393.50974,0.35954815,1.9674159,1,100,53,2
57,881.507,426.33246,881.507,426.33246,-0.13989142,-0.0014363527,2,100,62,2
58,850.72595,132.89188,850.72595,132.89188,-1.0270262,1.7071768,1,100,39,2
59,779.6051,812.0478,779.6051,812.0478,1.6238598,1.0714948,1,100,69,2
60,196.91931,623.3305,196.91931,623.3305,1.7821174,-0.90777624,1,100,1,2
61,631.72125,417.4565,631.72125,417.4565,-0.86178714,1.7105021,2,100,20,2
62,800.3035,356.14078,800.3035,356.14078,-0.7554723,-1.8518265,1,100,24,2
63,126.394325,753.3806,126.394325,753.3806,-0.19638881,-1.9903345,1,100,91,2
64,31.291967,14.14254,31.291967,14.14254,0.008130405,-1.8738692,2,100,80,2
65,777.0871,545.36163,777.0871,545.36163,1.2956498,1.4487817,1,100,45,2
66,841.9982,10.784291,841.9982,10.784291,0.558204,1.8956648,1,100,58,2
67,688.67126,304.71292,688.67126,304.71292,0.07539408,-1.9442425,1,100,68,2
68,694.5418,280.65387,694.5418,280.65387,-0.55203176,1.8694735,1,100,67,2
69,812.00336,788.9441,812.00336,788.9441,-0.24587625,1.9387994,1,100,59,2
70,533.6002,357.86322,537.5233,356.00037,1.4841418,-1.1676389,4,100,54,2
71,144.67566,241.51836,144.67566,241.51836,-0.47262037,1.884174,1,100,81,2
72,819.58185,696.1664,819.58185,696.1664,1.2039007,-1.597067,1,100,37,2
73,590.9301,760.16364,590.9301,760.16364,-1.036938,-1.611807,1,100,88,2
74,308.62314,620.7787,308.62314,620.7787,1.8884495,-0.38469878,1,100,15,2
75,794.09863,884.1539,794.09863,884.1539,-1.0640812,1.5881099,1,100,59,2
76,400.91888,130.42754,400.91888,130.42754,-1.6537396,-0.9054854,1,100,30,2
78,591.81006,642.1618,591.81006,642.1618,0.06937748,-1.8705084,2,100,4,2
79,341.04752,545.0009,341.04752,545.0009,0.76011354,-1.7737566,1,100,102,2
80,133.78592,25.276432,133.78592,25.276432,1.6372886,-1.0850161,1,100,99,2
81,197.25887,276.90048,197.25887,276.90048,-0.6148217,-1.9031538,1,100,71,2
82,253.67531,402.4935,253.67531,402.4935,-0.6455818,-1.8006115,1,100,31,2
83,599.76935,496.00156,599.76935,496.00156,-1.9989969,0.06333705,1,100,20,2
84,674.89984,760.726,674.89984,760.726,-0.26576605,1.9093903,1,100,88,2
85,549.8579,687.52185,549.8579,687.52185,-0.17395462,1.8689127,2,100,78,2
86,898.6564,298.80923,898.6564,298.80923,1.9298753,-0.13603964,1,100,39,2
87,311.73926,800.69867,311.73926,800.69867,1.8671815,-0.13796099,1,100,33,2
88,629.9404,770.18115,629.9404,770.18115,1.6878035,-0.9454554,1,100,73,2
89,322.81882,1.4064927,322.81882,1.4064927,-1.7538415,0.8916159,1,100,38,2
90,593.0444,129.49376,593.0444,129.49376,-0.14347386,1.9948472,1,100,43,2
91,93.03666,691.57654,93.03666,691.57654,1.9681045,-0.35575947,1,100,2,2
92,683.7972,503.91144,683.7972,503.91144,0.048799355,1.9994047,1,100,83,2
93,230.04553,457.2107,230.04553,457.2107,-0.7521734,1.7592065,1,100,31,2
94,98.481415,891.9185,98.481415,891.9185,-1.855628,0.494093,1,100,106,2
